"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 21:38:33 CST 2024","Tue Mar 19 21:38:33 CST 2024","156","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture8]",""
"failed","Tue Mar 19 21:38:33 CST 2024","Tue Mar 19 21:38:33 CST 2024","214","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture6]",""
"failed","Tue Mar 19 21:38:32 CST 2024","Tue Mar 19 21:38:32 CST 2024","171","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture3]",""
"passed","Tue Mar 19 21:38:32 CST 2024","Tue Mar 19 21:38:32 CST 2024","192","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture0]",""
"failed","Tue Mar 19 21:38:34 CST 2024","Tue Mar 19 21:38:34 CST 2024","148","TestCases","test_login","TestLogin","","","test_login[login_case_fixture3]",""
"passed","Tue Mar 19 21:38:33 CST 2024","Tue Mar 19 21:38:33 CST 2024","135","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture7]",""
"passed","Tue Mar 19 21:38:33 CST 2024","Tue Mar 19 21:38:34 CST 2024","143","TestCases","test_login","TestLogin","","","test_login[login_case_fixture0]",""
"passed","Tue Mar 19 21:38:31 CST 2024","Tue Mar 19 21:38:31 CST 2024","189","TestCases","test_cart","TestCart","","","test_cart_list[cart_list_case_fixture1]",""
"passed","Tue Mar 19 21:38:32 CST 2024","Tue Mar 19 21:38:32 CST 2024","201","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture1]",""
"passed","Tue Mar 19 21:38:34 CST 2024","Tue Mar 19 21:38:34 CST 2024","152","TestCases","test_login","TestLogin","","","test_login[login_case_fixture5]",""
"failed","Tue Mar 19 21:38:34 CST 2024","Tue Mar 19 21:38:34 CST 2024","163","TestCases","test_login","TestLogin","","","test_login[login_case_fixture1]",""
"passed","Tue Mar 19 21:38:32 CST 2024","Tue Mar 19 21:38:33 CST 2024","153","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture4]",""
"failed","Tue Mar 19 21:38:31 CST 2024","Tue Mar 19 21:38:31 CST 2024","192","TestCases","test_cart","TestCart","","","test_cart_list[cart_list_case_fixture2]",""
"passed","Tue Mar 19 21:38:33 CST 2024","Tue Mar 19 21:38:33 CST 2024","136","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture5]",""
"failed","Tue Mar 19 21:38:33 CST 2024","Tue Mar 19 21:38:33 CST 2024","189","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture9]",""
"passed","Tue Mar 19 21:38:32 CST 2024","Tue Mar 19 21:38:32 CST 2024","173","TestCases","test_cart","TestCart","","","test_cart_add[cart_add_case_fixture2]",""
"passed","Tue Mar 19 21:38:35 CST 2024","Tue Mar 19 21:38:35 CST 2024","202","TestCases","test_order","TestOrder","","","test_order_create[order_create_case_fixture0]",""
"passed","Tue Mar 19 21:38:34 CST 2024","Tue Mar 19 21:38:34 CST 2024","152","TestCases","test_login","TestLogin","","","test_login[login_case_fixture2]",""
"passed","Tue Mar 19 21:38:34 CST 2024","Tue Mar 19 21:38:34 CST 2024","167","TestCases","test_login","TestLogin","","","test_login[login_case_fixture4]",""
"passed","Tue Mar 19 21:38:31 CST 2024","Tue Mar 19 21:38:31 CST 2024","166","TestCases","test_cart","TestCart","","","test_cart_list[cart_list_case_fixture0]",""
